,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
235,236,"a, n",1.000,0.950,0.932,0.938,0.1,exponential,,sqrt,3,95
236,237,"a, n",1.000,0.950,0.932,0.938,0.2,exponential,,sqrt,3,35
237,238,"a, sinI",1.000,0.940,0.939,0.938,0.2,exponential,,sqrt,3,65
238,239,"a, e, n",1.000,0.942,0.940,0.938,0.2,exponential,,sqrt,3,85
239,240,"a, e, n",1.000,0.942,0.940,0.938,0.2,exponential,,sqrt,3,95
240,241,"e, n",1.000,0.944,0.940,0.938,0.2,exponential,4.0,sqrt,3,85
241,242,"e, n",1.000,0.944,0.940,0.938,0.2,exponential,4.0,sqrt,3,95
242,243,"a, e, sinI",1.000,0.953,0.924,0.938,0.2,exponential,,sqrt,3,55
243,244,"a, e, sinI",1.000,0.953,0.924,0.938,0.2,exponential,,sqrt,3,65
244,245,"a, e, sinI",1.000,0.953,0.924,0.938,0.2,exponential,,sqrt,3,75
245,246,"e, n",1.000,0.942,0.940,0.938,0.1,exponential,4.0,sqrt,3,95
246,247,"e, n",1.000,0.942,0.940,0.938,0.2,exponential,4.0,sqrt,3,55
247,248,"a, e",1.000,0.954,0.924,0.938,0.1,exponential,4.0,sqrt,3,45
248,249,"e, n",1.000,0.943,0.940,0.938,0.2,exponential,4.0,sqrt,3,75
249,250,"a, sinI",1.000,0.946,0.931,0.937,0.2,exponential,,sqrt,3,45
250,251,"a, sinI",1.000,0.946,0.931,0.937,0.2,exponential,,sqrt,3,55
251,252,"a, e, sinI, n",1.000,0.963,0.917,0.937,0.1,exponential,,sqrt,3,65
252,253,"a, e, sinI, n",1.000,0.963,0.917,0.937,0.1,exponential,,sqrt,3,75
253,254,"a, e, sinI, n",1.000,0.963,0.917,0.937,0.1,exponential,,sqrt,3,85
254,255,"a, e, sinI, n",1.000,0.963,0.917,0.937,0.1,exponential,,sqrt,3,95
255,256,"a, e, sinI, n",1.000,0.963,0.917,0.937,0.2,exponential,,sqrt,3,35
256,257,"a, sinI",1.000,0.961,0.916,0.937,0.1,exponential,,sqrt,3,65
257,258,a,1.000,0.919,0.954,0.936,0.1,exponential,4.0,sqrt,3,75
258,259,"a, e, sinI, n",1.000,0.977,0.901,0.936,0.1,exponential,,sqrt,3,45
259,260,a,1.000,0.926,0.946,0.936,0.01,log_loss,,sqrt,3,85
260,261,a,1.000,0.926,0.946,0.936,0.01,log_loss,,sqrt,3,95
261,262,"a, e, sinI, n",1.000,0.985,0.894,0.935,0.01,log_loss,,sqrt,3,85
262,263,"a, e, sinI, n",1.000,0.985,0.894,0.935,0.01,log_loss,,sqrt,3,95
263,264,"a, e, n",1.000,0.977,0.902,0.935,0.1,exponential,,sqrt,3,45
264,265,"a, n",1.000,0.933,0.940,0.935,0.2,exponential,4.0,sqrt,3,95
265,266,"a, sinI, n",1.000,0.932,0.939,0.935,0.2,exponential,4.0,sqrt,3,55
266,267,"a, n",1.000,0.941,0.932,0.935,0.1,exponential,4.0,sqrt,3,85
267,268,"a, n",1.000,0.941,0.932,0.935,0.1,exponential,4.0,sqrt,3,95
268,269,"a, n",1.000,0.933,0.940,0.935,0.2,exponential,4.0,sqrt,3,85
269,270,"a, n",1.000,0.942,0.932,0.935,0.1,exponential,4.0,sqrt,3,45
270,271,"a, n",1.000,0.942,0.932,0.935,0.1,exponential,4.0,sqrt,3,55
271,272,"sinI, n",1.000,0.940,0.932,0.935,0.1,exponential,4.0,sqrt,3,75
